from,to,weight
joy,trust,4.8
joy,fear,0.8
joy,surprise,3.6666666666666665
joy,sadness,0.9
joy,disgust,1.0909090909090908
joy,anger,1.4
joy,anticipation,4.666666666666667
joy,ecstasy,4.0
joy,serenity,4.090909090909091
joy,admiration,5.0
joy,acceptance,4.166666666666667
joy,terror,0.7777777777777778
joy,apprehension,1.181818181818182
joy,amazement,4.142857142857143
joy,distraction,1.2727272727272727
joy,grief,1.6
joy,pensiveness,1.0909090909090908
joy,loathing,0.7333333333333333
joy,boredom,1.0833333333333333
joy,rage,0.6153846153846154
joy,annoyance,0.9
joy,vigilance,0.5555555555555556
joy,interest,4.333333333333333
joy,optimism,4.875
joy,hope,5.833333333333333
joy,anxiety,1.3636363636363635
joy,love,4.625
joy,guilt,1.25
joy,delight,6.181818181818182
joy,submission,1.0625
joy,curiosity,5.166666666666667
joy,sentimentality,2.4
joy,awe,2.0
joy,despair,0.9230769230769232
joy,shame,0.3
joy,disappointment,2.0
joy,unbelief,0.6666666666666666
joy,outrage,0.6666666666666666
joy,remorse,1.0909090909090908
joy,envy,1.8
joy,pessimism,0.5833333333333334
joy,contempt,0.6
joy,cynicism,0.5454545454545454
joy,morbidness,1.1428571428571428
joy,aggressiveness,3.5384615384615383
joy,pride,3.0
joy,dominance,3.2857142857142856
trust,joy,5.222222222222222
trust,fear,1.2857142857142858
trust,surprise,1.2727272727272727
trust,sadness,1.75
trust,disgust,1.2727272727272727
trust,anger,1.7692307692307692
trust,anticipation,4.9
trust,ecstasy,3.357142857142857
trust,serenity,5.222222222222222
trust,admiration,2.3846153846153846
trust,acceptance,3.8461538461538463
trust,terror,0.75
trust,apprehension,2.5384615384615383
trust,amazement,2.076923076923077
trust,distraction,0.9166666666666666
trust,grief,1.4666666666666666
trust,pensiveness,1.1666666666666667
trust,loathing,1.5
trust,boredom,1.25
trust,rage,2.5
trust,annoyance,1.4166666666666667
trust,vigilance,2.5454545454545454
trust,interest,3.8181818181818183
trust,optimism,2.75
trust,hope,5.0
trust,anxiety,2.8666666666666667
trust,love,6.2
trust,guilt,0.875
trust,delight,4.125
trust,submission,2.6666666666666665
trust,curiosity,2.6
trust,sentimentality,1.3571428571428572
trust,awe,3.2666666666666666
trust,despair,2.4545454545454546
trust,shame,0.8571428571428571
trust,disappointment,2.9166666666666665
trust,unbelief,1.9166666666666667
trust,outrage,0.8
trust,remorse,2.5
trust,envy,1.0714285714285714
trust,pessimism,1.125
trust,contempt,1.4444444444444444
trust,cynicism,1.3636363636363635
trust,morbidness,0.6666666666666666
trust,aggressiveness,3.5555555555555554
trust,pride,4.571428571428571
trust,dominance,4.0
fear,joy,0.7272727272727273
fear,trust,0.6666666666666666
fear,surprise,2.9166666666666665
fear,sadness,3.8333333333333335
fear,disgust,4.142857142857143
fear,anger,3.1666666666666665
fear,anticipation,1.5714285714285714
fear,ecstasy,0.7142857142857143
fear,serenity,1.0
fear,admiration,1.5833333333333333
fear,acceptance,1.9090909090909092
fear,terror,6.333333333333333
fear,apprehension,5.625
fear,amazement,3.066666666666667
fear,distraction,5.8
fear,grief,3.8181818181818183
fear,pensiveness,2.8333333333333335
fear,loathing,4.235294117647059
fear,boredom,1.0
fear,rage,3.0
fear,annoyance,3.0833333333333335
fear,vigilance,6.0
fear,interest,1.7692307692307692
fear,optimism,1.9090909090909092
fear,hope,1.6923076923076923
fear,anxiety,5.8
fear,love,1.3076923076923077
fear,guilt,3.8461538461538463
fear,delight,0.1
fear,submission,4.357142857142857
fear,curiosity,1.375
fear,sentimentality,3.090909090909091
fear,awe,3.9
fear,despair,5.0
fear,shame,4.0
fear,disappointment,3.9
fear,unbelief,4.642857142857143
fear,outrage,2.2222222222222223
fear,remorse,3.2
fear,envy,2.3
fear,pessimism,5.0
fear,contempt,2.5555555555555554
fear,cynicism,2.6666666666666665
fear,morbidness,3.5384615384615383
fear,aggressiveness,0.9166666666666666
fear,pride,1.2307692307692308
fear,dominance,2.0833333333333335
surprise,joy,2.625
surprise,trust,1.8333333333333333
surprise,fear,2.6666666666666665
surprise,sadness,2.9
surprise,disgust,2.6153846153846154
surprise,anger,3.3333333333333335
surprise,anticipation,2.1666666666666665
surprise,ecstasy,2.7
surprise,serenity,1.4615384615384617
surprise,admiration,5.1
surprise,acceptance,1.8823529411764703
surprise,terror,4.090909090909091
surprise,apprehension,3.5454545454545454
surprise,amazement,6.076923076923077
surprise,distraction,5.866666666666666
surprise,grief,1.625
surprise,pensiveness,1.6666666666666667
surprise,loathing,1.5
surprise,boredom,1.2142857142857142
surprise,rage,2.8181818181818183
surprise,annoyance,2.0
surprise,vigilance,3.769230769230769
