from,to,weight
喜び,信頼,4.8
喜び,恐れ,0.8
喜び,驚き,3.6666666666666665
喜び,悲しみ,0.9
喜び,嫌悪,1.0909090909090908
喜び,怒り,1.4
喜び,期待,4.666666666666667
喜び,恍惚,4.0
喜び,平穏,4.090909090909091
喜び,感嘆,5.0
喜び,容認,4.166666666666667
喜び,恐怖,0.7777777777777778
喜び,心配,1.181818181818182
喜び,驚嘆,4.142857142857143
喜び,動揺,1.2727272727272727
喜び,悲痛,1.6
喜び,憂い,1.0909090909090908
喜び,憎悪,0.7333333333333333
喜び,退屈,1.0833333333333333
喜び,激怒,0.6153846153846154
喜び,苛立ち,0.9
喜び,警戒,0.5555555555555556
喜び,興味,4.333333333333333
喜び,楽観,4.875
喜び,希望,5.833333333333333
喜び,不安,1.3636363636363635
喜び,愛,4.625
喜び,罪悪感,1.25
喜び,歓喜,6.181818181818182
喜び,服従,1.0625
喜び,好奇心,5.166666666666667
喜び,感傷,2.4
喜び,畏敬,2.0
喜び,絶望,0.9230769230769232
喜び,恥,0.3
喜び,失望,2.0
喜び,不審,0.6666666666666666
喜び,憤慨,0.6666666666666666
喜び,自責,1.0909090909090908
喜び,嫉妬,1.8
喜び,悲観,0.5833333333333334
喜び,軽蔑,0.6
喜び,冷笑,0.5454545454545454
喜び,陰鬱,1.1428571428571428
喜び,積極性,3.5384615384615383
喜び,誇り,3.0
喜び,優位,3.2857142857142856
信頼,喜び,5.222222222222222
信頼,恐れ,1.2857142857142858
信頼,驚き,1.2727272727272727
信頼,悲しみ,1.75
信頼,嫌悪,1.2727272727272727
信頼,怒り,1.7692307692307692
信頼,期待,4.9
信頼,恍惚,3.357142857142857
信頼,平穏,5.222222222222222
信頼,感嘆,2.3846153846153846
信頼,容認,3.8461538461538463
信頼,恐怖,0.75
信頼,心配,2.5384615384615383
信頼,驚嘆,2.076923076923077
信頼,動揺,0.9166666666666666
信頼,悲痛,1.4666666666666666
信頼,憂い,1.1666666666666667
信頼,憎悪,1.5
信頼,退屈,1.25
信頼,激怒,2.5
信頼,苛立ち,1.4166666666666667
信頼,警戒,2.5454545454545454
信頼,興味,3.8181818181818183
信頼,楽観,2.75
信頼,希望,5.0
信頼,不安,2.8666666666666667
信頼,愛,6.2
信頼,罪悪感,0.875
信頼,歓喜,4.125
信頼,服従,2.6666666666666665
信頼,好奇心,2.6
信頼,感傷,1.3571428571428572
信頼,畏敬,3.2666666666666666
信頼,絶望,2.4545454545454546
信頼,恥,0.8571428571428571
信頼,失望,2.9166666666666665
信頼,不審,1.9166666666666667
信頼,憤慨,0.8
信頼,自責,2.5
信頼,嫉妬,1.0714285714285714
信頼,悲観,1.125
信頼,軽蔑,1.4444444444444444
信頼,冷笑,1.3636363636363635
信頼,陰鬱,0.6666666666666666
信頼,積極性,3.5555555555555554
信頼,誇り,4.571428571428571
信頼,優位,4.0
恐れ,喜び,0.7272727272727273
恐れ,信頼,0.6666666666666666
恐れ,驚き,2.9166666666666665
恐れ,悲しみ,3.8333333333333335
恐れ,嫌悪,4.142857142857143
恐れ,怒り,3.1666666666666665
恐れ,期待,1.5714285714285714
恐れ,恍惚,0.7142857142857143
