from,to,weight
joy,trust,3.0
joy,fear,1.1428571428571428
joy,surprise,3.4444444444444446
joy,sadness,0.1666666666666666
joy,disgust,0.0
joy,anger,0.1538461538461538
joy,anticipation,4.7
joy,ecstasy,4.6923076923076925
joy,serenity,3.6666666666666665
joy,admiration,4.909090909090909
joy,acceptance,2.2666666666666666
joy,terror,0.375
joy,apprehension,0.8571428571428571
joy,amazement,3.5
joy,distraction,1.3333333333333333
joy,grief,1.2
joy,pensiveness,1.8666666666666667
joy,loathing,0.2727272727272727
joy,boredom,0.25
joy,rage,0.4
joy,annoyance,0.1818181818181818
joy,vigilance,0.5
joy,interest,3.1666666666666665
joy,optimism,4.428571428571429
joy,hope,5.2
joy,anxiety,0.1666666666666666
joy,love,3.75
joy,guilt,0.25
joy,delight,5.571428571428571
joy,submission,1.3333333333333333
joy,curiosity,2.875
joy,sentimentality,1.3
joy,awe,1.75
joy,despair,0.0
joy,shame,0.4166666666666667
joy,disappointment,0.2727272727272727
joy,unbelief,0.125
joy,outrage,0.1666666666666666
joy,remorse,0.5
joy,envy,0.6666666666666666
joy,pessimism,0.25
joy,contempt,0.4615384615384615
joy,cynicism,0.3333333333333333
joy,morbidness,0.0
joy,aggressiveness,3.230769230769231
joy,pride,3.533333333333333
joy,dominance,3.142857142857143
trust,joy,3.6666666666666665
trust,fear,1.0
trust,surprise,0.5
trust,sadness,0.3333333333333333
trust,disgust,0.3
trust,anger,0.5625
trust,anticipation,4.25
trust,ecstasy,2.6666666666666665
trust,serenity,3.8333333333333335
trust,admiration,1.9
trust,acceptance,5.0
trust,terror,1.0
trust,apprehension,1.4
trust,amazement,1.2222222222222223
trust,distraction,0.0
trust,grief,1.0
trust,pensiveness,0.5454545454545454
trust,loathing,0.875
trust,boredom,0.625
trust,rage,1.8571428571428572
trust,annoyance,0.8571428571428571
trust,vigilance,0.2857142857142857
trust,interest,3.3
trust,optimism,3.8333333333333335
trust,hope,4.5
trust,anxiety,1.5
trust,love,5.25
trust,guilt,0.75
trust,delight,3.3333333333333335
trust,submission,3.4
trust,curiosity,2.0
trust,sentimentality,1.1111111111111112
trust,awe,4.0
trust,despair,0.5
trust,shame,0.3076923076923077
trust,disappointment,1.5
trust,unbelief,0.6666666666666666
trust,outrage,0.6666666666666666
trust,remorse,1.6666666666666667
trust,envy,0.7142857142857143
trust,pessimism,0.75
trust,contempt,0.1428571428571428
trust,cynicism,0.4
trust,morbidness,0.6363636363636364
trust,aggressiveness,4.0
trust,pride,4.375
trust,dominance,2.75
fear,joy,0.1538461538461538
fear,trust,0.875
fear,surprise,3.1666666666666665
fear,sadness,3.5
fear,disgust,3.727272727272727
fear,anger,4.055555555555555
fear,anticipation,1.5454545454545454
fear,ecstasy,1.25
fear,serenity,0.2
fear,admiration,2.2666666666666666
fear,acceptance,0.8333333333333334
fear,terror,7.0
fear,apprehension,6.111111111111111
fear,amazement,3.5
fear,distraction,5.166666666666667
fear,grief,3.7333333333333334
fear,pensiveness,3.1
fear,loathing,4.375
fear,boredom,0.8
fear,rage,2.9166666666666665
fear,annoyance,4.333333333333333
fear,vigilance,5.142857142857143
fear,interest,2.7
fear,optimism,0.625
fear,hope,0.2727272727272727
fear,anxiety,5.923076923076923
fear,love,1.3076923076923077
fear,guilt,3.272727272727273
fear,delight,0.4
fear,submission,4.0
fear,curiosity,2.3
fear,sentimentality,1.75
fear,awe,4.25
