from,to,weight
喜び,信頼,3.0
喜び,恐れ,1.1428571428571428
喜び,驚き,3.4444444444444446
喜び,悲しみ,0.1666666666666666
喜び,嫌悪,0.0
喜び,怒り,0.1538461538461538
喜び,期待,4.7
喜び,恍惚,4.6923076923076925
喜び,平穏,3.6666666666666665
喜び,感嘆,4.909090909090909
喜び,容認,2.2666666666666666
喜び,恐怖,0.375
喜び,心配,0.8571428571428571
喜び,驚嘆,3.5
喜び,動揺,1.3333333333333333
喜び,悲痛,1.2
喜び,憂い,1.8666666666666667
喜び,憎悪,0.2727272727272727
喜び,退屈,0.25
喜び,激怒,0.4
喜び,苛立ち,0.1818181818181818
喜び,警戒,0.5
喜び,興味,3.1666666666666665
喜び,楽観,4.428571428571429
喜び,希望,5.2
喜び,不安,0.1666666666666666
喜び,愛,3.75
喜び,罪悪感,0.25
喜び,歓喜,5.571428571428571
喜び,服従,1.3333333333333333
喜び,好奇心,2.875
喜び,感傷,1.3
喜び,畏敬,1.75
喜び,絶望,0.0
喜び,恥,0.4166666666666667
喜び,失望,0.2727272727272727
喜び,不審,0.125
喜び,憤慨,0.1666666666666666
喜び,自責,0.5
喜び,嫉妬,0.6666666666666666
喜び,悲観,0.25
喜び,軽蔑,0.4615384615384615
喜び,冷笑,0.3333333333333333
喜び,陰鬱,0.0
喜び,積極性,3.230769230769231
喜び,誇り,3.533333333333333
喜び,優位,3.142857142857143
信頼,喜び,3.6666666666666665
信頼,恐れ,1.0
信頼,驚き,0.5
信頼,悲しみ,0.3333333333333333
信頼,嫌悪,0.3
信頼,怒り,0.5625
信頼,期待,4.25
信頼,恍惚,2.6666666666666665
信頼,平穏,3.8333333333333335
信頼,感嘆,1.9
信頼,容認,5.0
信頼,恐怖,1.0
信頼,心配,1.4
信頼,驚嘆,1.2222222222222223
信頼,動揺,0.0
信頼,悲痛,1.0
信頼,憂い,0.5454545454545454
信頼,憎悪,0.875
信頼,退屈,0.625
信頼,激怒,1.8571428571428572
信頼,苛立ち,0.8571428571428571
信頼,警戒,0.2857142857142857
信頼,興味,3.3
信頼,楽観,3.8333333333333335
信頼,希望,4.5
信頼,不安,1.5
信頼,愛,5.25
信頼,罪悪感,0.75
信頼,歓喜,3.3333333333333335
信頼,服従,3.4
信頼,好奇心,2.0
信頼,感傷,1.1111111111111112
信頼,畏敬,4.0
信頼,絶望,0.5
信頼,恥,0.3076923076923077
信頼,失望,1.5
信頼,不審,0.6666666666666666
信頼,憤慨,0.6666666666666666
信頼,自責,1.6666666666666667
信頼,嫉妬,0.7142857142857143
信頼,悲観,0.75
信頼,軽蔑,0.1428571428571428
信頼,冷笑,0.4
信頼,陰鬱,0.6363636363636364
信頼,積極性,4.0
信頼,誇り,4.375
信頼,優位,2.75
恐れ,喜び,0.1538461538461538
恐れ,信頼,0.875
恐れ,驚き,3.1666666666666665
恐れ,悲しみ,3.5
恐れ,嫌悪,3.727272727272727
恐れ,怒り,4.055555555555555
恐れ,期待,1.5454545454545454
恐れ,恍惚,1.25
恐れ,平穏,0.2
恐れ,感嘆,2.2666666666666666
恐れ,容認,0.8333333333333334
恐れ,恐怖,7.0
恐れ,心配,6.111111111111111
恐れ,驚嘆,3.5
恐れ,動揺,5.166666666666667
恐れ,悲痛,3.7333333333333334
恐れ,憂い,3.1
恐れ,憎悪,4.375
恐れ,退屈,0.8
恐れ,激怒,2.9166666666666665
恐れ,苛立ち,4.333333333333333
恐れ,警戒,5.142857142857143
恐れ,興味,2.7
恐れ,楽観,0.625
恐れ,希望,0.2727272727272727
恐れ,不安,5.923076923076923
恐れ,愛,1.3076923076923077
恐れ,罪悪感,3.272727272727273
恐れ,歓喜,0.4
恐れ,服従,4.0
恐れ,好奇心,2.3
恐れ,感傷,1.75
恐れ,畏敬,4.25
恐れ,絶望,5.8
恐れ,恥,1.4615384615384617
恐れ,失望,3.7142857142857144
恐れ,不審,4.3076923076923075
恐れ,憤慨,3.5
恐れ,自責,2.5
恐れ,嫉妬,2.8
恐れ,悲観,4.833333333333333
恐れ,軽蔑,2.1538461538461537
恐れ,冷笑,1.6153846153846154
恐れ,陰鬱,3.5833333333333335
恐れ,積極性,1.5
恐れ,誇り,0.8181818181818182
恐れ,優位,1.75
驚き,喜び,4.142857142857143
驚き,信頼,1.4
驚き,恐れ,2.923076923076923
驚き,悲しみ,2.4444444444444446
驚き,嫌悪,1.6923076923076923
驚き,怒り,2.1666666666666665
驚き,期待,3.7
驚き,恍惚,2.4
驚き,平穏,0.4285714285714285
驚き,感嘆,4.888888888888889
驚き,容認,1.8333333333333333
驚き,恐怖,3.909090909090909
驚き,心配,2.3333333333333335
驚き,驚嘆,5.857142857142857
驚き,動揺,5.363636363636363
驚き,悲痛,2.1666666666666665
驚き,憂い,0.7272727272727273
驚き,憎悪,1.9
驚き,退屈,0.6923076923076923
驚き,激怒,1.8461538461538465
驚き,苛立ち,2.0
驚き,警戒,3.6
驚き,興味,5.142857142857143
驚き,楽観,1.0
驚き,希望,3.6
驚き,不安,3.6
驚き,愛,1.9166666666666667
驚き,罪悪感,1.1
驚き,歓喜,3.6
驚き,服従,1.8888888888888888
驚き,好奇心,5.083333333333333
驚き,感傷,2.125
驚き,畏敬,2.8
驚き,絶望,2.363636363636364
驚き,恥,1.1666666666666667
驚き,失望,2.0
驚き,不審,2.3333333333333335
驚き,憤慨,3.0
驚き,自責,1.2
驚き,嫉妬,1.4
驚き,悲観,0.8333333333333334
驚き,軽蔑,1.3
驚き,冷笑,1.4
驚き,陰鬱,0.25
驚き,積極性,2.375
驚き,誇り,1.2857142857142858
驚き,優位,1.25
悲しみ,喜び,1.1666666666666667
悲しみ,信頼,0.5
悲しみ,恐れ,2.875
悲しみ,驚き,1.875
悲しみ,嫌悪,3.111111111111111
悲しみ,怒り,4.0
悲しみ,期待,0.5
悲しみ,恍惚,0.4
悲しみ,平穏,1.4545454545454546
悲しみ,感嘆,2.25
悲しみ,容認,0.3636363636363636
悲しみ,恐怖,3.1538461538461537
悲しみ,心配,4.133333333333334
悲しみ,驚嘆,1.7777777777777777
悲しみ,動揺,3.5833333333333335
悲しみ,悲痛,6.666666666666667
悲しみ,憂い,5.571428571428571
悲しみ,憎悪,2.4444444444444446
悲しみ,退屈,1.6923076923076923
悲しみ,激怒,1.75
悲しみ,苛立ち,2.8
悲しみ,警戒,2.3333333333333335
悲しみ,興味,0.6
悲しみ,楽観,1.3333333333333333
悲しみ,希望,1.4285714285714286
悲しみ,不安,4.666666666666667
悲しみ,愛,1.5454545454545454
悲しみ,罪悪感,3.0833333333333335
悲しみ,歓喜,1.5833333333333333
悲しみ,服従,2.0
悲しみ,好奇心,0.5833333333333334
悲しみ,感傷,5.8
悲しみ,畏敬,1.9230769230769231
悲しみ,絶望,6.5
悲しみ,恥,2.7777777777777777
悲しみ,失望,6.3076923076923075
悲しみ,不審,1.9
悲しみ,憤慨,3.5833333333333335
悲しみ,自責,3.857142857142857
悲しみ,嫉妬,2.8
悲しみ,悲観,5.777777777777778
悲しみ,軽蔑,2.7142857142857144
悲しみ,冷笑,2.727272727272727
悲しみ,陰鬱,4.0
悲しみ,積極性,0.2666666666666666
悲しみ,誇り,0.375
悲しみ,優位,0.4
嫌悪,喜び,0.625
嫌悪,信頼,0.0
嫌悪,恐れ,2.909090909090909
嫌悪,驚き,1.6666666666666667
嫌悪,悲しみ,3.5714285714285716
嫌悪,怒り,4.285714285714286
嫌悪,期待,0.3
嫌悪,恍惚,0.6666666666666666
嫌悪,平穏,0.9
嫌悪,感嘆,0.9
嫌悪,容認,0.5384615384615384
嫌悪,恐怖,3.9166666666666665
嫌悪,心配,3.272727272727273
嫌悪,驚嘆,2.2222222222222223
嫌悪,動揺,2.7
嫌悪,悲痛,4.142857142857143
嫌悪,憂い,2.076923076923077
嫌悪,憎悪,5.8
嫌悪,退屈,1.7
嫌悪,激怒,3.2
嫌悪,苛立ち,5.25
嫌悪,警戒,3.7777777777777777
嫌悪,興味,0.8461538461538461
嫌悪,楽観,0.3333333333333333
嫌悪,希望,0.9166666666666666
嫌悪,不安,3.6
嫌悪,愛,1.0
嫌悪,罪悪感,3.4285714285714284
嫌悪,歓喜,0.1818181818181818
嫌悪,服従,1.5
嫌悪,好奇心,1.5
嫌悪,感傷,2.4444444444444446
嫌悪,畏敬,1.625
嫌悪,絶望,3.9166666666666665
嫌悪,恥,4.428571428571429
嫌悪,失望,4.285714285714286
嫌悪,不審,5.0
嫌悪,憤慨,4.636363636363637
嫌悪,自責,4.636363636363637
嫌悪,嫉妬,4.583333333333333
嫌悪,悲観,3.0
嫌悪,軽蔑,5.8
嫌悪,冷笑,4.0
嫌悪,陰鬱,4.142857142857143
嫌悪,積極性,1.75
嫌悪,誇り,0.2857142857142857
嫌悪,優位,0.75
怒り,喜び,0.5
怒り,信頼,0.5714285714285714
怒り,恐れ,3.4285714285714284
怒り,驚き,2.0
怒り,悲しみ,3.3333333333333335
怒り,嫌悪,5.0
怒り,期待,1.181818181818182
怒り,恍惚,1.0
怒り,平穏,0.0
怒り,感嘆,1.4545454545454546
怒り,容認,0.5833333333333334
怒り,恐怖,3.4444444444444446
